Station Name: HOLYCROSS-Cabragh_Wetlands
Station Height: 94 M 
Latitude:52.640  ,Longitude: -7.838


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
06-mar-2014,0,16.500, , , , , , 
07-mar-2014,0,0.300, , , , , , 
08-mar-2014,4,0.000, , , , , , 
09-mar-2014,0,5.700, , , , , , 
10-mar-2014,0,0.000, , , , , , 
11-mar-2014,0,0.000, , , , , , 
12-mar-2014,0,0.200, , , , , , 
13-mar-2014,0,0.000, , , , , , 
14-mar-2014,0,0.200, , , , , , 
15-mar-2014,0,0.000, , , , , , 
16-mar-2014,0,0.200, , , , , , 
17-mar-2014,0,2.400, , , , , , 
18-mar-2014,0,0.000, , , , , , 
19-mar-2014,0,8.200, , , , , , 
20-mar-2014,0,0.900, , , , , , 
21-mar-2014,0,7.500, , , , , , 
22-mar-2014,0,2.500, , , , , , 
23-mar-2014,0,0.400, , , , , , 
24-mar-2014,0,15.300, , , , , , 
25-mar-2014,0,1.200, , , , , , 
26-mar-2014,0,0.800, , , , , , 
27-mar-2014,0,0.600, , , , , , 
28-mar-2014,0,5.200, , , , , , 
29-mar-2014,0,16.900, , , , , , 
30-mar-2014,0,2.600, , , , , , 
31-mar-2014,4,0.000, , , , , , 
01-apr-2014,0,3.300, , , , , , 
02-apr-2014,0,2.300, , , , , , 
03-apr-2014,0,0.400, , , , , , 
04-apr-2014,0,4.300, , , , , , 
05-apr-2014,0,3.900, , , , , , 
06-apr-2014,0,0.100, , , , , , 
07-apr-2014,0,3.200, , , , , , 
08-apr-2014,0,0.000, , , , , , 
09-apr-2014,0,0.200, , , , , , 
10-apr-2014,0,0.000, , , , , , 
11-apr-2014,4,0.000, , , , , , 
12-apr-2014,4,0.000, , , , , , 
13-apr-2014,0,0.200, , , , , , 
14-apr-2014,0,0.000, , , , , , 
15-apr-2014,0,0.000, , , , , , 
16-apr-2014,0,0.000, , , , , , 
17-apr-2014,0,0.000, , , , , , 
18-apr-2014,0,0.000, , , , , , 
19-apr-2014,0,0.000, , , , , , 
20-apr-2014,0,2.500, , , , , , 
21-apr-2014,0,0.000, , , , , , 
22-apr-2014,0,2.100, , , , , , 
23-apr-2014,0,0.400, , , , , , 
24-apr-2014,0,0.000, , , , , , 
25-apr-2014,0,13.600, , , , , , 
26-apr-2014,0,9.100, , , , , , 
27-apr-2014,4,0.000, , , , , , 
28-apr-2014,0,0.000, , , , , , 
29-apr-2014,0,0.700, , , , , , 
30-apr-2014,0,10.500, , , , , , 
01-may-2014,4,0.000, , , , , , 
02-may-2014,4,0.000, , , , , , 
03-may-2014,0,0.000, , , , , , 
04-may-2014,4,0.000, , , , , , 
05-may-2014,0,0.700, , , , , , 
06-may-2014,0,1.200, , , , , , 
07-may-2014,0,8.700, , , , , , 
08-may-2014,0,2.300, , , , , , 
09-may-2014,0,7.100, , , , , , 
10-may-2014,0,8.100, , , , , , 
11-may-2014,0,0.100, , , , , , 
12-may-2014,0,6.900, , , , , , 
13-may-2014,0,0.200, , , , , , 
14-may-2014,0,0.000, , , , , , 
15-may-2014,0,0.000, , , , , , 
16-may-2014,0,0.000, , , , , , 
17-may-2014,0,4.300, , , , , , 
18-may-2014,0,13.100, , , , , , 
19-may-2014,0,36.400, , , , , , 
20-may-2014,0,1.400, , , , , , 
21-may-2014,0,0.100, , , , , , 
22-may-2014,0,4.000, , , , , , 
23-may-2014,0,5.000, , , , , , 
24-may-2014,0,2.500, , , , , , 
25-may-2014,0,0.200, , , , , , 
26-may-2014,0,1.600, , , , , , 
27-may-2014,0,0.000, , , , , , 
28-may-2014,0,0.100, , , , , , 
29-may-2014,0,0.000, , , , , , 
30-may-2014,0,0.000, , , , , , 
31-may-2014,0,0.000, , , , , , 
01-jun-2014,0,2.700, , , , , , 
02-jun-2014,0,0.000, , , , , , 
03-jun-2014,0,11.700, , , , , , 
04-jun-2014,0,0.100, , , , , , 
05-jun-2014,0,0.000, , , , , , 
06-jun-2014,0,2.300, , , , , , 
07-jun-2014,0,3.700, , , , , , 
08-jun-2014,0,7.700, , , , , , 
09-jun-2014,0,11.600, , , , , , 
10-jun-2014,0,4.900, , , , , , 
11-jun-2014,0,0.200, , , , , , 
12-jun-2014,0,0.000, , , , , , 
13-jun-2014,0,0.100, , , , , , 
14-jun-2014,0,0.000, , , , , , 
15-jun-2014,0,0.000, , , , , , 
16-jun-2014,0,0.000, , , , , , 
17-jun-2014,0,0.000, , , , , , 
18-jun-2014,0,0.000, , , , , , 
19-jun-2014,0,0.000, , , , , , 
20-jun-2014,0,0.000, , , , , , 
21-jun-2014,0,0.000, , , , , , 
22-jun-2014,0,0.000, , , , , , 
23-jun-2014,0,0.000, , , , , , 
24-jun-2014,0,0.500, , , , , , 
25-jun-2014,0,3.900, , , , , , 
26-jun-2014,0,6.000, , , , , , 
27-jun-2014,0,1.200, , , , , , 
28-jun-2014,0,0.700, , , , , , 
29-jun-2014,0,0.000, , , , , , 
30-jun-2014,0,0.000, , , , , , 
01-jul-2014,0,0.000, , , , , , 
02-jul-2014,0,0.000, , , , , , 
03-jul-2014,0,5.400, , , , , , 
04-jul-2014,0,0.800, , , , , , 
05-jul-2014,0,1.200, , , , , , 
06-jul-2014,0,3.400, , , , , , 
07-jul-2014,0,11.100, , , , , , 
08-jul-2014,0,0.700, , , , , , 
09-jul-2014,0,0.400, , , , , , 
10-jul-2014,0,0.000, , , , , , 
11-jul-2014,0,0.400, , , , , , 
12-jul-2014,0,0.100, , , , , , 
13-jul-2014,0,0.300, , , , , , 
14-jul-2014,0,0.000, , , , , , 
15-jul-2014,0,0.700, , , , , , 
16-jul-2014,0,0.000, , , , , , 
17-jul-2014,0,4.700, , , , , , 
18-jul-2014,0,0.500, , , , , , 
19-jul-2014,0,25.000, , , , , , 
20-jul-2014,0,1.500, , , , , , 
21-jul-2014,0,0.000, , , , , , 
22-jul-2014,0,0.000, , , , , , 
23-jul-2014,0,0.100, , , , , , 
24-jul-2014,0,1.900, , , , , , 
25-jul-2014,0,0.100, , , , , , 
26-jul-2014,0,0.000, , , , , , 
27-jul-2014,0,0.000, , , , , , 
28-jul-2014,0,0.200, , , , , , 
29-jul-2014,0,0.000, , , , , , 
30-jul-2014,0,0.600, , , , , , 
31-jul-2014,0,4.300, , , , , , 
01-aug-2014,0,5.800, , , , , , 
02-aug-2014,0,12.700, , , , , , 
03-aug-2014,0,0.100, , , , , , 
04-aug-2014,4,0.000, , , , , , 
05-aug-2014,0,5.300, , , , , , 
06-aug-2014,0,0.100, , , , , , 
07-aug-2014,0,0.000, , , , , , 
08-aug-2014,0,1.300, , , , , , 
09-aug-2014,0,10.500, , , , , , 
10-aug-2014,0,5.700, , , , , , 
11-aug-2014,0,2.900, , , , , , 
12-aug-2014,0,0.600, , , , , , 
13-aug-2014,0,6.500, , , , , , 
14-aug-2014,0,1.200, , , , , , 
15-aug-2014,0,0.200, , , , , , 
16-aug-2014,4,0.000, , , , , , 
17-aug-2014,0,0.200, , , , , , 
18-aug-2014,4,0.000, , , , , , 
19-aug-2014,0,0.000, , , , , , 
20-aug-2014,0,0.100, , , , , , 
21-aug-2014,0,0.200, , , , , , 
22-aug-2014,0,0.000, , , , , , 
23-aug-2014,0,0.000, , , , , , 
24-aug-2014,0,3.100, , , , , , 
25-aug-2014,0,5.100, , , , , , 
26-aug-2014,0,0.000, , , , , , 
27-aug-2014,0,1.300, , , , , , 
28-aug-2014,0,3.100, , , , , , 
29-aug-2014,0,2.800, , , , , , 
30-aug-2014,0,0.100, , , , , , 
31-aug-2014,0,0.500, , , , , , 
01-sep-2014,0,0.000, , , , , , 
02-sep-2014,0,0.000, , , , , , 
03-sep-2014,0,0.000, , , , , , 
04-sep-2014,0,0.000, , , , , , 
05-sep-2014,0,0.500, , , , , , 
06-sep-2014,4,0.000, , , , , , 
07-sep-2014,0,0.000, , , , , , 
08-sep-2014,0,0.000, , , , , , 
09-sep-2014,0,0.000, , , , , , 
10-sep-2014,4,0.000, , , , , , 
11-sep-2014,0,0.000, , , , , , 
12-sep-2014,0,0.000, , , , , , 
